Ref,Val,Package,PosX,PosY,Rot,Side
"D54","WW_2700K","Candle_LED_0603_Matrix",19.350000,-398.600000,90.000000,top
"D55","WW_2700K","Candle_LED_0603_Matrix",22.250000,-398.600000,90.000000,top
"D56","WW_2700K","Candle_LED_0603_Matrix",25.150000,-398.600000,90.000000,top
"D57","WW_2700K","Candle_LED_0603_Matrix",4.850000,-395.700000,90.000000,top
"D58","WW_2700K","Candle_LED_0603_Matrix",7.750000,-395.700000,90.000000,top
"D59","WW_2700K","Candle_LED_0603_Matrix",10.650000,-395.700000,90.000000,top
"D60","WW_2700K","Candle_LED_0603_Matrix",13.550000,-395.700000,90.000000,top
"D61","WW_2700K","Candle_LED_0603_Matrix",16.450000,-395.700000,90.000000,top
"D62","WW_2700K","Candle_LED_0603_Matrix",19.350000,-395.700000,90.000000,top
"D63","WW_2700K","Candle_LED_0603_Matrix",22.250000,-395.700000,90.000000,top
"D64","WW_2700K","Candle_LED_0603_Matrix",25.150000,-395.700000,90.000000,top
"D65","WW_2700K","Candle_LED_0603_Matrix",4.850000,-392.800000,90.000000,top
"D66","WW_2700K","Candle_LED_0603_Matrix",7.750000,-392.800000,90.000000,top
"D67","WW_2700K","Candle_LED_0603_Matrix",10.650000,-392.800000,90.000000,top
"D68","WW_2700K","Candle_LED_0603_Matrix",13.550000,-392.800000,90.000000,top
"D69","WW_2700K","Candle_LED_0603_Matrix",16.450000,-392.800000,90.000000,top
"D70","WW_2700K","Candle_LED_0603_Matrix",19.350000,-392.800000,90.000000,top
"D71","WW_2700K","Candle_LED_0603_Matrix",22.250000,-392.800000,90.000000,top
"D72","WW_2700K","Candle_LED_0603_Matrix",25.150000,-392.800000,90.000000,top
"D73","WW_2700K","Candle_LED_0603_Matrix",4.850000,-389.900000,90.000000,top
"D74","WW_2700K","Candle_LED_0603_Matrix",7.750000,-389.900000,90.000000,top
"D75","WW_2700K","Candle_LED_0603_Matrix",10.650000,-389.900000,90.000000,top
"D76","WW_2700K","Candle_LED_0603_Matrix",13.550000,-389.900000,90.000000,top
"D77","WW_2700K","Candle_LED_0603_Matrix",16.450000,-389.900000,90.000000,top
"D78","WW_2700K","Candle_LED_0603_Matrix",19.350000,-389.900000,90.000000,top
"D79","WW_2700K","Candle_LED_0603_Matrix",22.250000,-389.900000,90.000000,top
"D80","WW_2700K","Candle_LED_0603_Matrix",25.150000,-389.900000,90.000000,top
"D81","WW_2700K","Candle_LED_0603_Matrix",4.850000,-387.000000,90.000000,top
"D82","WW_2700K","Candle_LED_0603_Matrix",7.750000,-387.000000,90.000000,top
"D83","WW_2700K","Candle_LED_0603_Matrix",10.650000,-387.000000,90.000000,top
"D84","WW_2700K","Candle_LED_0603_Matrix",13.550000,-387.000000,90.000000,top
"D85","WW_2700K","Candle_LED_0603_Matrix",16.450000,-387.000000,90.000000,top
"D86","WW_2700K","Candle_LED_0603_Matrix",19.350000,-387.000000,90.000000,top
"D87","WW_2700K","Candle_LED_0603_Matrix",22.250000,-387.000000,90.000000,top
"D88","WW_2700K","Candle_LED_0603_Matrix",25.150000,-387.000000,90.000000,top
"D89","WW_2700K","Candle_LED_0603_Matrix",4.850000,-384.100000,90.000000,top
"D90","WW_2700K","Candle_LED_0603_Matrix",7.750000,-384.100000,90.000000,top
"D91","WW_2700K","Candle_LED_0603_Matrix",10.650000,-384.100000,90.000000,top
"D92","WW_2700K","Candle_LED_0603_Matrix",13.550000,-384.100000,90.000000,top
"D93","WW_2700K","Candle_LED_0603_Matrix",16.450000,-384.100000,90.000000,top
"D94","WW_2700K","Candle_LED_0603_Matrix",19.350000,-384.100000,90.000000,top
"D95","WW_2700K","Candle_LED_0603_Matrix",22.250000,-384.100000,90.000000,top
"D96","WW_2700K","Candle_LED_0603_Matrix",25.150000,-384.100000,90.000000,top
"D97","WW_2700K","Candle_LED_0603_Matrix",4.850000,-381.200000,90.000000,top
"D98","WW_2700K","Candle_LED_0603_Matrix",7.750000,-381.200000,90.000000,top
"D99","WW_2700K","Candle_LED_0603_Matrix",10.650000,-381.200000,90.000000,top
"D100","WW_2700K","Candle_LED_0603_Matrix",13.550000,-381.200000,90.000000,top
"D101","WW_2700K","Candle_LED_0603_Matrix",16.450000,-381.200000,90.000000,top
"D102","WW_2700K","Candle_LED_0603_Matrix",19.350000,-381.200000,90.000000,top
"D103","WW_2700K","Candle_LED_0603_Matrix",22.250000,-381.200000,90.000000,top
"D104","WW_2700K","Candle_LED_0603_Matrix",25.150000,-381.200000,90.000000,top
"D105","WW_2700K","Candle_LED_0603_Matrix",4.850000,-378.300000,90.000000,top
"D106","WW_2700K","Candle_LED_0603_Matrix",7.750000,-378.300000,90.000000,top
"D107","WW_2700K","Candle_LED_0603_Matrix",10.650000,-378.300000,90.000000,top
"D108","WW_2700K","Candle_LED_0603_Matrix",13.550000,-378.300000,90.000000,top
"D109","WW_2700K","Candle_LED_0603_Matrix",16.450000,-378.300000,90.000000,top
"D110","WW_2700K","Candle_LED_0603_Matrix",19.350000,-378.300000,90.000000,top
"D111","WW_2700K","Candle_LED_0603_Matrix",22.250000,-378.300000,90.000000,top
"D112","WW_2700K","Candle_LED_0603_Matrix",25.150000,-378.300000,90.000000,top
"D113","WW_2700K","Candle_LED_0603_Matrix",4.850000,-375.400000,90.000000,top
"D114","WW_2700K","Candle_LED_0603_Matrix",7.750000,-375.400000,90.000000,top
"D115","WW_2700K","Candle_LED_0603_Matrix",10.650000,-375.400000,90.000000,top
"D116","WW_2700K","Candle_LED_0603_Matrix",13.550000,-375.400000,90.000000,top
"D117","WW_2700K","Candle_LED_0603_Matrix",16.450000,-375.400000,90.000000,top
"D118","WW_2700K","Candle_LED_0603_Matrix",19.350000,-375.400000,90.000000,top
"D119","WW_2700K","Candle_LED_0603_Matrix",22.250000,-375.400000,90.000000,top
"D120","WW_2700K","Candle_LED_0603_Matrix",25.150000,-375.400000,90.000000,top
"D121","WW_2700K","Candle_LED_0603_Matrix",4.850000,-372.500000,90.000000,top
"D122","WW_2700K","Candle_LED_0603_Matrix",7.750000,-372.500000,90.000000,top
"D123","WW_2700K","Candle_LED_0603_Matrix",10.650000,-372.500000,90.000000,top
"D124","WW_2700K","Candle_LED_0603_Matrix",13.550000,-372.500000,90.000000,top
"D125","WW_2700K","Candle_LED_0603_Matrix",16.450000,-372.500000,90.000000,top
"D126","WW_2700K","Candle_LED_0603_Matrix",19.350000,-372.500000,90.000000,top
"D127","WW_2700K","Candle_LED_0603_Matrix",22.250000,-372.500000,90.000000,top
"D128","WW_2700K","Candle_LED_0603_Matrix",25.150000,-372.500000,90.000000,top
"R1","20k","R_0603_1608Metric",6.800000,-323.000000,90.000000,top
"SW1","PCB_BUTTON","SW_Push_1P1T_NO_CK_KMR2",15.000000,-160.000000,0.000000,top
"U1","ATtiny1616-M","VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm",15.000000,-236.000000,45.000000,top
"U2","IS31FL3731-QF","QFN-28-1EP_4x4mm_P0.4mm_EP2.3x2.3mm",15.000000,-328.000000,0.000000,top
